r,alpha,epoch,train_loss,val_loss
8,8,1,0.590313,0.450732
8,8,2,0.442233,0.419426
8,8,3,0.379744,0.332646
8,8,4,0.314944,0.297762
8,8,5,0.289089,0.282556
8,8,6,0.278211,0.275482
8,8,7,0.271256,0.271638
8,8,8,0.266025,0.269686
8,8,9,0.266711,0.267786
8,8,10,0.2639,0.267417
8,16,1,0.556913,0.449162
8,16,2,0.435789,0.402827
8,16,3,0.377622,0.338279
8,16,4,0.325589,0.305482
8,16,5,0.298044,0.287117
8,16,6,0.284389,0.278275
8,16,7,0.275867,0.273289
8,16,8,0.269975,0.27044
8,16,9,0.270044,0.268194
8,16,10,0.266922,0.267744
16,16,1,0.542475,0.447354
16,16,2,0.422744,0.35636
16,16,3,0.336522,0.301261
16,16,4,0.2971,0.281862
16,16,5,0.279367,0.271154
16,16,6,0.270922,0.266145
16,16,7,0.265044,0.262874
16,16,8,0.260425,0.261695
16,16,9,0.2608,0.260101
16,16,10,0.258322,0.259687
16,32,1,0.531963,0.444469
16,32,2,0.403656,0.332492
16,32,3,0.3163,0.288589
16,32,4,0.284544,0.27481
16,32,5,0.270133,0.264536
16,32,6,0.263589,0.260297
16,32,7,0.257622,0.257361
16,32,8,0.253013,0.256754
16,32,9,0.253989,0.254496
16,32,10,0.250756,0.254381
32,32,1,0.540338,0.448573
32,32,2,0.429656,0.389355
32,32,3,0.364822,0.327126
32,32,4,0.313233,0.293849
32,32,5,0.287,0.276171
32,32,6,0.273922,0.268342
32,32,7,0.265578,0.263248
32,32,8,0.25975,0.262128
32,32,9,0.259433,0.259898
32,32,10,0.2561,0.259683
32,64,1,0.526925,0.443287
32,64,2,0.409744,0.360538
32,64,3,0.337633,0.303361
32,64,4,0.2932,0.278689
32,64,5,0.271422,0.267305
32,64,6,0.262033,0.262098
32,64,7,0.2552,0.257004
32,64,8,0.249925,0.256373
32,64,9,0.249556,0.254756
