m,epoch,train_loss,val_loss
16,1,0.501613,0.408292
16,2,0.360311,0.31008
16,3,0.294933,0.280142
16,4,0.274244,0.26981
16,5,0.264,0.262842
16,6,0.258756,0.259179
16,7,0.254722,0.256738
16,8,0.250762,0.256011
16,9,0.252489,0.254873
16,10,0.249922,0.254685
32,1,0.49135,0.397197
32,2,0.352156,0.304488
32,3,0.291811,0.274889
32,4,0.270267,0.26423
32,5,0.259356,0.256711
32,6,0.253744,0.253278
32,7,0.249522,0.251104
32,8,0.245375,0.250638
32,9,0.246844,0.249606
32,10,0.244211,0.249403
64,1,0.473537,0.364915
64,2,0.325756,0.27871
64,3,0.269133,0.260153
64,4,0.254878,0.255299
64,5,0.245433,0.248572
64,6,0.2406,0.246414
64,7,0.236233,0.244666
64,8,0.232063,0.244885
64,9,0.232933,0.244186
64,10,0.230222,0.244322
128,1,0.463787,0.349982
128,2,0.305756,0.264678
128,3,0.258022,0.254044
128,4,0.245967,0.249581
128,5,0.236556,0.244133
128,6,0.231156,0.242184
128,7,0.225944,0.24166
128,8,0.2208,0.241855
128,9,0.221144,0.241567
128,10,0.217911,0.241943
256,1,0.452738,0.311679
256,2,0.276822,0.252436
256,3,0.245433,0.246453
256,4,0.233767,0.243776
256,5,0.222811,0.24349
256,6,0.214722,0.243858
256,7,0.206944,0.243849
256,8,0.199925,0.245937
256,9,0.197378,0.247773
