r,alpha,epoch,train_loss,val_loss
8,8,1,0.513825,0.413555
8,8,2,0.3594,0.312872
8,8,3,0.298222,0.281535
8,8,4,0.275989,0.270176
8,8,5,0.265122,0.263171
8,8,6,0.260244,0.259765
8,8,7,0.256189,0.257643
8,8,8,0.252938,0.256667
8,8,9,0.2543,0.255758
8,8,10,0.2519,0.255554
8,16,1,0.505725,0.398215
8,16,2,0.342978,0.29291
8,16,3,0.282844,0.268732
8,16,4,0.266956,0.261105
8,16,5,0.258356,0.255008
8,16,6,0.254222,0.252491
8,16,7,0.2505,0.250864
8,16,8,0.247263,0.250421
16,16,1,0.5054,0.384337
16,16,2,0.337144,0.29064
16,16,3,0.278789,0.267864
16,16,4,0.264089,0.26133
16,16,5,0.256278,0.256101
16,16,6,0.252322,0.253765
16,16,7,0.248867,0.252336
16,16,8,0.245525,0.251721
16,16,9,0.247311,0.250971
16,32,1,0.518863,0.36132
16,32,2,0.310811,0.272129
16,32,3,0.264867,0.260466
16,32,4,0.255889,0.255482
16,32,5,0.248611,0.251106
16,32,6,0.245444,0.249157
16,32,7,0.241744,0.24801
16,32,8,0.238237,0.247691
16,32,9,0.239989,0.246962
16,32,10,0.237111,0.246906
32,32,1,0.500275,0.368154
32,32,2,0.321933,0.277011
32,32,3,0.270922,0.261887
32,32,4,0.259589,0.256021
32,32,5,0.251833,0.250448
32,32,6,0.2481,0.248604
32,32,7,0.2443,0.247515
32,32,8,0.241013,0.247061
32,32,9,0.242278,0.2463
32,64,1,0.506675,0.333219
32,64,2,0.292656,0.264334
32,64,3,0.258111,0.25543
32,64,4,0.2504,0.252319
32,64,5,0.2436,0.247045
32,64,6,0.240089,0.246112
32,64,7,0.236078,0.244671
32,64,8,0.232637,0.244194
32,64,9,0.233989,0.244217
32,64,10,0.230767,0.243875
